Question,Answer,Class
How many students can take advantage of library at a time?,50 at a time.,library
Is there faculty to guid the student in library,"Yes, faculity is available for student to guide?",library
Does DYP-ATU have book other than educational books?,"The university has sufficient numbers of titles and volumes of textbooks and reference books in addition with magazines, national and international journals. It is also strengthened with e-books, e-journals and digital library.",library
Hostel facilities are available or not?,The university provides separate hostel facility to both girls and boys. The basic purpose for the Hostels is: – Provide accommodation to the admitted students with minimum rent.,hostel
Which is facilities are provided at a hostel?,"–   Provide accommodation to the admitted students with minimum rent.
–   Provide them various infrastructural facilities.
–   Look after the hygienic conditions of the students.
–   Provide the required educational environment.",hostel
Is there security for girls hostel ?,"Yes,there is security for girls hostel.",hostel
What is the capacity of one room in hostel?,Three.,hostel
How many rooms available in hostel ?,"Hostel Capacity:
Boys Hostel- 400
Girls Hostel- 243",hostel
How much fee of one year of boys hostel?,24000 RS,hostel
How much fee of one year of girls hostel?,35000 RS,hostel
How I do request hostel facility ?,"Contact to Er. M. V. Gavade , In-charge, Hostel (8856066777)",hostel
Is there medical emergency available at hostel,Yes,hostel
Does DTP-ATU have sports ?,Yes,sports
Which sports are available in DYP-ATU?,"Volleyball,Basket ball,Football, Cricket and etc.",sports
Which sports ground are  available in DYP-ATU?,"Volleyball,Basket ball,Football, Cricke",sports
Is there coatches to guid the sports student?,Yes.,sports
Gymkhana facility available in DYP-ATU?,Yes.,sports
Information about college transport.,"The University offers safety-oriented transportation service to the students, faculty, and staff to commute between the city and campus on the notified bus timings and defined routes. The University has a fleet of 11 buses dedicated to the shuttle service which are driven by professional drivers. Our staff maintains vehicles on regular basis to ensure vehicle’s safety and operational efficiency. These buses are also used for Industrial Visits, Campus Placements Drives and Study Tours.",campus
It is bus driver have experienced ?,Yes,campus
How many average seats available in one bus?,40 seats,campus
Which school are available in university?,Schools of Engineering & Technology                                                                                                                             Schools of Commerce & Management                                                                                                                               School of Agri-Business Management                                                                                                    ,campus
What is admission process? ,You can follow this link to take admissiom https://www.dyp-atu.org/applynow/,campus
What is duration period B.tech(CSE/DS/AIML)?,4 Years,duration
What is duration period B.tech(food)?,4 Years,duration
What is duration period of BCA?,3 Years,duration
What is duration period of M.tech(Food)?,2 Years,duration
What is duration period of M.tech(Agricultural Engineering)?,2 Years,duration
What is duration period of MCA?,2 Years,duration
What is duration period of MCA(sandwich)?,2 Years,duration
What is duration period of M.sc(Food science technology)?,2 Years,duration
What is duration period of M.sc (Organic Chemistry)?,2 Years,duration
What is duration period of M.sc (Analytical Chemistry)?,2 Years,duration
What is duration period of BBA?,3 Years,duration
What is duration period of MBA?,2 Years,duration
What is duration period of MBA (Agri Buisness Management)?,2 Years,duration
What is duration period of B.tech(Agricultural Engineering)?,4 Years,duration
What is fee structure B.tech(CSE/DS/AIML)?,66000/-,fee
What is fee structure B.tech(food)?,70000/-,fee
What is fee structure of BCA?,BCA fees 40000/-,fee
What is fee structure of M.tech(Food)?,60000/-,fee
What is fee structure of M.tech(Agricultural Engineering)?,60000/-,fee
What is fee structure of MCA?,65000/-,fee
What is fee structure of MCA(sandwich)?,75000/-,fee
What is fee structure o f M.sc(Food science technology)?,45000/-,fee
What is fee structure o f M.sc(Organic Chemistry)?,55000/-,fee
What is fee structure o f M.sc(Analytical Chemistry)?,55000/-,fee
What is fee structure of BBA?,35000/-,fee
What is fee structure of MBA?,75000/-,fee
What is fee structure o f MBA (Agri Buisness Management)?,130000/-,fee
What is fee structure of B.tech(Agricultural Engineering)?,60000/-,fee
What is eligibility criteria B.tech(CSE/DS/AIML)?,"1. Pass in 10 + 2 with (Physics, Chemistry & Biology) or (Physics, Chemistry & Maths) II. Obtained at least 45% marks (40% marks in case of candidates belonging to reserved category) in the above subject taken together",criteria
What is eligibility criteria B.tech(food)?,"1. Pass in 10 + 2 with (Physics, Chemistry & Biology) or (Physics, Chemistry & Maths) II. Obtained at least 45% marks (40% marks in case of candidates belonging to reserved category) in the above subject taken together",criteria
What is eligibility criteria of BCA?,"HSC(Arts,Commerce,Science)with minimum 50% marks",criteria
What is eligibility criteria of M.tech(Food)?,B.Tech in Food Technology/ Food Engineering/ Dairy Technology/ Food Process Engineering/ Agri. Engineering/ Chemical Technology/ Chemical Engineering/ Biotechnology/ Biochemistry/ Biochemical Engineering/ or M.Sc. Food Science and Technology/ M.Sc. Agriculture/ Horticulture/ Biotechnology.,criteria
What is eligibility criteria of M.tech(Agricultural Engineering)?,Pass in Bachelor’s Degree or equivalent in Agricultural Engineering. Obtained al least 50% marks (45% marks in case of candidates belonging to reserved category) in the qualifying examination.,criteria
What is eligibility criteria of MCA?,B.C.A. / Any graduate with Mathematics / Statistics in H.Sc..,criteria
What is eligibility criteria of MCA(sandwich)?,Minimum 50% marks in graduation.,criteria
What is eligibility criteria of M.sc(Food science technology)?,B.Sc. Degree in Food Science/ Chemistry/ Biochemistry/ Biotechnology/ Microbiology/ Botany/ Zoology/ Agriculture/ Horticulture/ Home Science/ Food Science and Nutrition/ Food Science and Quality Control or B.Voc degree in Food Processing/ Food Quality/ Food Preservation and packaging.,criteria
What is eligibility criteria of M.sc(Organic Chemistry)?,B.Sc. Degree in Chemistry or related subject.,criteria
What is eligibility criteria of M.sc(Analytical Chemistry)?,B.Sc. Degree in Chemistry or related subject.,criteria
What is eligibility criteria of BBA?,H.Sc. (Arts/ Commerce/ Science) with minimum 50% marks.,criteria
What is eligibility criteria of MBA?,Any Graduate with a minimum of 50% marks.,criteria
What is eligibility criteria of MBA (Agri Buisness Management)?,Any Graduate with a minimum of 50% marks.,criteria
What is eligibility criteria of B.tech(Agricultural Engineering)?,Pass in Bachelor’s Degree or equivalent in Agricultural Engineering. Obtained al least 50% marks (45% marks in case of candidates belonging to reserved category) in the qualifying examination.,criteria
How many semisters are there of B.tech(CSE/DS/AIML)?,8 semister,semister
How many semisters are there of B.tech(food)?,8 semister,semister
How many semisters are there of  BCA?,6 semister,semister
How many semisters are there of M.tech(Food)?,4 semister,semister
How many semisters are there of M.tech(Agricultural Engineering)?,4 semister,semister
How many semisters are there of MCA?,4 semister,semister
How many semisters are there of MCA(sandwich)?,2 Semister and 1 Year Internship,semister
How many semisters are there of M.sc(Food science technology)?,4 semister ,semister
How many semisters are there of M.sc(Organic Chemistry)?,4 semister ,semister
How many semisters are there of M.sc(Analyticalc Chemistry)?,4 semister ,semister
How many semisters are there of BBA?,6 semister,semister
How many semisters are there of MBA?,4 semister ,semister
How many semisters are there of MBA (Agri Buisness Management)?,4 semister ,semister
How many semisters are there of B.tech(Agricultural Engineering)?,4 semister ,semister
What is exam structure of  B.tech(CSE/DS/AIML)?,MSE+POE+ESE,exam
What is exam structure of B.tech(food) ?,MSE+POE+ESE,exam
What is structure of exam of BCA?,MSE+POE+ESE,exam
What is structure of exam of M.tech(Food)?,MSE+POE+ESE,exam
What is exam structure of M.tech(Agricultural Engineering)?,MSE+FET+POE+ESE,exam
What is exam structure of MCA?,MSE+FET+POE+ESE,exam
What is exam structure of MCA(sandwich)?,MSE+FET+POE+ESE,exam
What is exam structure of M.sc(Food science technology)?,MSE+FET+POE+ESE,exam
What is exam structure of M.sc(Organic Chemistry)?,MSE+FET+POE+ESE,exam
What is exam structure of M.sc(AnalyticalChemistry)?,MSE+FET+POE+ESE,exam
What is exam structure of BBA?,MSE+FET+POE+ESE,exam
What is exam structure of MBA?,MSE+FET+POE+ESE,exam
What is exam structure of MBA (Agri Buisness Management)?,MSE+FET+POE+ESE,exam
What is exam structure of B.tech(Agricultural Engineering)?,MSE+FET+POE+ESE,exam
Which documents are required for B.tech(CSE/DS/AIML)?,"1) S.SC/Equivalent Examination Mark sheet & Passing Certificate. 2) H.S.C/Equivalent Examination Mark sheet & Passing Certificate,3) JEE Mark sheet/MH-CET Mark sheet./DYPATUET Marksheet 4) Leaving or Transfer Certificate from the Institute last attended, 5) Nationality Certificate, if applicable.6) Domicile Certificate, if applicable.7) Migration Certificate. If applicable.8) Reserved Category students require Caste Certificate and Caste Validity Certificate duly issued by the competent authority.9) Passport in case of Foreign Nationals/ Wards of Persons of Indian Origin/Wards of Non Resident Indians",document
Which documents are required for B.tech(food)?,"1) S.SC/Equivalent Examination Mark sheet & Passing Certificate. 2) H.S.C/Equivalent Examination Mark sheet & Passing Certificate,3) JEE Mark sheet/MH-CET Mark sheet./DYPATUET Marksheet 4) Leaving or Transfer Certificate from the Institute last attended,5) Nationality Certificate, if applicable.6) Domicile Certificate, if applicable.7) Migration Certificate. If applicable.8) Reserved Category students require Caste Certificate and Caste Validity Certificate duly issued by the competent authority.9) Passport in case of Foreign Nationals/ Wards of Persons of Indian Origin/Wards of Non Resident Indians",document
Which documents are required for BCA?,"1) S.SC/Equivalent Examination Mark sheet & Passing Certificate. 2) H.S.C/Equivalent Examination Mark sheet & Passing Certificate,3) JEE Mark sheet/MH-CET Mark sheet./DYPATUET Marksheet 4) Leaving or Transfer Certificate from the Institute last attended,5) Nationality Certificate, if applicable.6) Domicile Certificate, if applicable.7) Migration Certificate. If applicable.8) Reserved Category students require Caste Certificate and Caste Validity Certificate duly issued by the competent authority.9) Passport in case of Foreign Nationals/ Wards of Persons of Indian Origin/Wards of Non Resident Indians",document
Which documents are required for M.tech(Food)?,"1) S.S.C/Equivalent Examination Marksheet& Passing Certificate 2) H.S.C./Equivalent Examination Marksheet& Passing Certificate3) UG Marksheet of all semesters.4) UG Degree Certificate.5) GATE exam score card./DYPATUET Score Card 6) Sponsorship Letter (Applicable for students who have not appeared GATE Exam) 7) UG Leaving or Transfer Certificate from the Institute last attended.8) Nationality Certificate, if applicable.9) Domicile Certificate, if available10) Migration Certificate11) Reserved Category students require Caste Certificate and Caste Validity Certificate duly issued by the competent authority 12) Passport in case of Foreign Nationals/Wards of Persons of Indian Origin/Wards of Nou Resident Indians",document
Which documents are required for M.tech(Agricultural Engineering)?,"1) S.S.C/Equivalent Examination Marksheet& Passing Certificate 2) H.S.C./Equivalent Examination Marksheet& Passing Certificate3) UG Marksheet of all semesters.4) UG Degree Certificate.5) GATE exam score card./DYPATUET Score Card 6) Sponsorship Letter (Applicable for students who have not appeared GATE Exam) 7) UG Leaving or Transfer Certificate from the Institute last attended.8) Nationality Certificate, if applicable.9) Domicile Certificate, if available10) Migration Certificate11) Reserved Category students require Caste Certificate and Caste Validity Certificate duly issued by the competent authority 12) Passport in case of Foreign Nationals/Wards of Persons of Indian Origin/Wards of Nou Resident Indians",document
Which documents are required for MCA?,"1) S.S.C/Equivalent Examination Marksheet& Passing Certificate 2) H.S.C./Equivalent Examination Marksheet& Passing Certificate3) UG Marksheet of all semesters.4) UG Degree Certificate.5) GATE exam score card./DYPATUET Score Card 6) Sponsorship Letter (Applicable for students who have not appeared GATE Exam) 7) UG Leaving or Transfer Certificate from the Institute last attended.8) Nationality Certificate, if applicable.9) Domicile Certificate, if available10) Migration Certificate11) Reserved Category students require Caste Certificate and Caste Validity Certificate duly issued by the competent authority 12) Passport in case of Foreign Nationals/Wards of Persons of Indian Origin/Wards of Nou Resident Indians",document
Which documents are required for MCA(sandwich)?,"1) S.S.C/Equivalent Examination Marksheet& Passing Certificate 2) H.S.C./Equivalent Examination Marksheet& Passing Certificate3) UG Marksheet of all semesters.4) UG Degree Certificate.5) GATE exam score card./DYPATUET Score Card 6) Sponsorship Letter (Applicable for students who have not appeared GATE Exam) 7) UG Leaving or Transfer Certificate from the Institute last attended.8) Nationality Certificate, if applicable.9) Domicile Certificate, if available10) Migration Certificate11) Reserved Category students require Caste Certificate and Caste Validity Certificate duly issued by the competent authority 12) Passport in case of Foreign Nationals/Wards of Persons of Indian Origin/Wards of Nou Resident Indians",document
Which documents are required for M.sc(Food science technology)?,"1) S.S.C/Equivalent Examination Marksheet& Passing Certificate 2) H.S.C./Equivalent Examination Marksheet& Passing Certificate3) UG Marksheet of all semesters.4) UG Degree Certificate.5) GATE exam score card./DYPATUET Score Card 6) Sponsorship Letter (Applicable for students who have not appeared GATE Exam) 7) UG Leaving or Transfer Certificate from the Institute last attended.8) Nationality Certificate, if applicable.9) Domicile Certificate, if available10) Migration Certificate11) Reserved Category students require Caste Certificate and Caste Validity Certificate duly issued by the competent authority 12) Passport in case of Foreign Nationals/Wards of Persons of Indian Origin/Wards of Nou Resident Indians",document
Which documents are required for M.sc(Organic Chemistry)?,"1) S.S.C/Equivalent Examination Marksheet& Passing Certificate 2) H.S.C./Equivalent Examination Marksheet& Passing Certificate3) UG Marksheet of all semesters.4) UG Degree Certificate.5) GATE exam score card./DYPATUET Score Card 6) Sponsorship Letter (Applicable for students who have not appeared GATE Exam) 7) UG Leaving or Transfer Certificate from the Institute last attended.8) Nationality Certificate, if applicable.9) Domicile Certificate, if available10) Migration Certificate11) Reserved Category students require Caste Certificate and Caste Validity Certificate duly issued by the competent authority 12) Passport in case of Foreign Nationals/Wards of Persons of Indian Origin/Wards of Nou Resident Indians",document
Which documents are required for M.sc(Analytical Chemistry)?,"1) S.S.C/Equivalent Examination Marksheet& Passing Certificate 2) H.S.C./Equivalent Examination Marksheet& Passing Certificate3) UG Marksheet of all semesters.4) UG Degree Certificate.5) GATE exam score card./DYPATUET Score Card 6) Sponsorship Letter (Applicable for students who have not appeared GATE Exam) 7) UG Leaving or Transfer Certificate from the Institute last attended.8) Nationality Certificate, if applicable.9) Domicile Certificate, if available10) Migration Certificate11) Reserved Category students require Caste Certificate and Caste Validity Certificate duly issued by the competent authority 12) Passport in case of Foreign Nationals/Wards of Persons of Indian Origin/Wards of Nou Resident Indians",document
Which documents are required for BBA?,"1) S.SC/Equivalent Examination Mark sheet & Passing Certificate. 2) H.S.C/Equivalent Examination Mark sheet & Passing Certificate, 3) JEE Mark sheet/MH-CET Mark sheet./DYPATUET Marksheet 4) Leaving or Transfer Certificate from the Institute last attended, 5) Nationality Certificate, if applicable.6) Domicile Certificate, if applicable.7) Migration Certificate. If applicable.8) Reserved Category students require Caste Certificate and Caste Validity Certificate duly issued by the competent authority.9) Passport in case of Foreign Nationals/ Wards of Persons of Indian Origin/Wards of Non Resident Indians",document
Which documents are required for MBA?,"1) S.S.C/Equivalent Examination Marksheet& Passing Certificate 2) H.S.C./Equivalent Examination Marksheet& Passing Certificate 3) UG Marksheet of all semesters.4) UG Degree Certificate.5) GATE exam score card./DYPATUET Score Card 6) Sponsorship Letter (Applicable for students who have not appeared GATE Exam)  7) UG Leaving or Transfer Certificate from the Institute last attended.8) Nationality Certificate, if applicable.9) Domicile Certificate, if available10) Migration Certificate 11) Reserved Category students require Caste Certificate and Caste Validity Certificate duly issued by the competent authority 12) Passport in case of Foreign Nationals/Wards of Persons of Indian Origin/Wards of Nou Resident Indians",document
Which documents are required for MBA (Agri Buisness Management)?,"1) S.S.C/Equivalent Examination Marksheet& Passing Certificate 2) H.S.C./Equivalent Examination Marksheet& Passing Certificate3) UG Marksheet of all semesters. 4) UG Degree Certificate.5) GATE exam score card./DYPATUET Score Card 6) Sponsorship Letter (Applicable for students who have not appeared GATE Exam)  7) UG Leaving or Transfer Certificate from the Institute last attended.8) Nationality Certificate, if applicable. 9) Domicile Certificate, if available10) Migration Certificate 11) Reserved Category students require Caste Certificate and Caste Validity Certificate duly issued by the competent authority 12) Passport in case of Foreign Nationals/Wards of Persons of Indian Origin/Wards of Nou Resident Indians",document
Which documents are required for B.tech(Agricultural Engineering)?,"1) S.SC/Equivalent Examination Mark sheet & Passing Certificate. 2) H.S.C/Equivalent Examination Mark sheet & Passing Certificate,3) JEE Mark sheet/MH-CET Mark sheet./DYPATUET Marksheet 4) Leaving or Transfer Certificate from the Institute last attended,5) Nationality Certificate, if applicable.6) Domicile Certificate, if applicable.7) Migration Certificate. If applicable.8) Reserved Category students require Caste Certificate and Caste Validity Certificate duly issued by the competent authority.9) Passport in case of Foreign Nationals/ Wards of Persons of Indian Origin/Wards of Non Resident Indians",document
Who are faculty of this course B.tech(CSE/DS/AIML)?,"Mr. Yogesh Chimte,S. A. Pardesi,Dr.V.P. Desai,etc ",faculty
Who are the faculty of B.tech(food) course?,"Mr.Vikramsing Ingale, Miss.Shital Patil",faculty
Who are the faculties of BCA course?,"Mr. Yogesh Chimte,Dr. Jaydeep Patil etc",faculty
Who are faculties of M.tech(Food) course?,"Mr.Vikramsing Ingale, Miss.Shital Patil",faculty
Who are the faculties for M.tech(Agricultural Engineering) course ?,"Dr. Jyant Ghadage,Dr.Mangal Patil",faculty
Who are the faculties for MCA course? ,"Mr. Vishal Pundikar, Miss.Varsha Desai, Mr. Amit Kadam",faculty
Who are the faculties for MCA(sandwich) course? ,"Mr. Vishal Pundikar, Miss.Varsha Desai, Mr. Amit Kadam",faculty
Who are the faculties for M.sc(Food science technology) course? ,Dr. Gurunath Mote,faculty
Who are the faculties for M.sc(Organic Chemistry) course? ,"Dr. Sandeep Vategavkar, Dr. Tanaji Gosavi",faculty
Who are the faculties for M.sc(Analytical Chemistry)? ,"Dr. Sandeep Vategavkar, Dr. Tanaji Gosavi",faculty
Who are the faculties for MBA course? ,"Miss. Rohini .Mohite, Miss. Pushapa Kashi",faculty
Who are the faculties for MBA (Agri Buisness Management) course? ,"Dr. Ranjit Patil, Dr. Shatrugan Bhusanar",faculty
Who are the faculties for B.tech(Agricultural Engineering) course ?,"Dr. Jyant Ghadage,Dr.Mangal Patil",faculty
How many projects should be done in B.tech(CSE/DS/AIML)?,2 projects in course 1 mini project and 1 major project,projects
How many projects should be done in B.tech(food) ?,1 major project,projects
How many projects should be done in BCA?,2 projects in course 1 mini project and 1 major project,projects
How many projects should be done in M.tech(Food)?,1 major project,projects
How many projects should be done in M.tech(Agricultural Engineering)?,2 projects,projects
How many projects should be done in MCA?,1st year (mini project) 2nd year(major project),projects
How many projects should be done in MCA(sandwich)?,1 Project,projects
How many projects should be done in M.sc(Food science technology)?,2 Projects,projects
How many projects should be done in B.tech(Agricultural Engineering)?,2 Projects,projects
How many projects should be done in M.sc(Organic Chemistry)?,2 Projects,projects
How many projects should be done in MBA?,2 Projects,projects
How many projects should be done in MBA (Agri Buisness Management)?,2 Projects,projects
How many projects should be done in B.tech(Agricultural Engineering)?,2 Projects,projects
Who is Associate Dean  of  B.tech(CSE/DS/AIML) course ?,Dr. Sangram T. Patil,dean
Who is Associate Dean of B.tech(food) course?,Dr. Gutunath Mote,dean
Who is  Associate Dean of BCA course?,Dr. Sangram T. Patil,dean
Who is  Associate Dean of M.tech(Food) course?,Dr. Gutunath Mote,dean
Who is  Associate Dean of M.tech(Agricultural Engineering)course?,Dr.Jayant Ghatage,dean
Who is  Associate Dean of MCA course?,Dr. Sangram.T.Patil,dean
Who is  Associate Dean of MCA (sandwich)course?,Dr. Sangram.T.Patil,dean
Who is  Associate Dean of M.sc(Food science technology) course?,Dr. Gurunath Mote,dean
Who is  Associate Dean of M.sc(Organic Chemistry) course?,Dr.Gurunath Mote,dean
Who is  Associate Dean of M.sc(Analytical Chemistry)?,Dr.Gurunath Mote,dean
Who is  Associate Dean of BBA course?,Dr. Murali Manohar Bhupati,dean
Who is  Associate Dean of MBA course?,Dr. Murali Manohar Bhupati,dean
Who is  Associate Dean of MBA (Agri Buisness Management) course?,Dr. Shubhangi Jagtap,dean
Who is  Associate Dean of B.tech(Agricultural Engineering)course?,Dr.Jayant Ghatage,dean
How many practical are concluded in one day B.tech(CSE/DS/AIML)?,2 practical session per day,praticals
How many practical are concluded in one day of B.tech(food)?,4 practical session per day,praticals
How many practical are concluded in one day of BCA?,2 practical session per day,praticals
How many practical are concluded in one day of M.tech(Food)?,4 practical session per day,praticals
How many practical are concluded in one day in M.tech(Agricultural Engineering)?,1 practical session per day,praticals
How many practical are concluded in one day in MCA?,1 practical session per day,praticals
How many practical are concluded in one day in MCA(sandwich)?,1 practical session per day,praticals
How many practical are concluded in one day in M.sc(Food science technology)?,1 practical session per day,praticals
How many practical are concluded in one day in M.sc(Organic Chemistry)?,1 practical session per day,praticals
How many practical are concluded in one day in M.sc(AnalyticalChemistry)?,1 practical session per day,praticals
How many practical are concluded in one day in B.tech(Agricultural Engineering)?,1 practical session per day,praticals
How many practical labs are available B.tech(CSE/DS/AIML)?,5 Computer Labs Available,labs
How many practical labs are available for B.tech(food)?,2 Food Tech Lab Available,labs
How many practical labs are available for BCA?,3 Computer Labs Available,labs
How many practical labs are available for M.tech(Food)?,2 Food Tech Labs Available,labs
How many practical labs are available for MCA?,2 MCA Labs Available,labs
How many practical labs are available for MCA(sandwich)?,2 MCA(sandwch) Labs Available,labs
How many practical labs are available forM.sc(Food science technology)?,2 M.sc(Food science technology) Labs Available,labs
How many practical labs are available for M.sc(Organic Chemistry)?,3  M.sc(Organic Chemistry) Labs Available,labs
How many practical labs are available for M.sc(Analytical Chemistry)?,3  M.sc(Analytical Chemistry) Labs Available,labs
What is fee structure B.tech(CSE/DS/AIML)?,66000/-,fees
What is fee structure B.tech(food)?,70000/-,fees
What is fee structure of BCA?,BCA fees 40000/-,fees
What is fee structure of M.tech(Food)?,60000/-,fees
What is fee structure of M.tech(Agricultural Engineering)?,60000/-,fees
What is fee structure of MCA?,65000/-,fees
What is fee structure of MCA(sandwich)?,75000/-,fees
What is fee structure o f M.sc(Food science technology)?,45000/-,fees
What is fee structure o f M.sc(Organic Chemistry)?,55000/-,fees
What is fee structure o f M.sc(Analytical Chemistry)?,55000/-,fees
What is fee structure of BBA?,35000/-,fees
What is fee structure of MBA?,75000/-,fees
What is fee structure o f MBA (Agri Buisness Management)?,130000/-,fees
What is fee structure of B.tech(Agricultural Engineering)?,60000/-,fees
